#FileName	SpeciesCode	SpeciesName	Kingdom	Phylum	Subphylum	class	order	Family	genus
Sporisorium_reilianum_SRZ2.gb	SPORE	Sporisorium_reilianum_SRZ2	Fungi	Basidiomycota	Ustilaginomycotina	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Sporisorium
Sporisorium_reilianum_SRZ2.gb	SPOSA	Sporisorium_reilianum_SRZ2	Fungi	Basidiomycota	Ustilaginomycotina	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Sporisorium.
Sporothrix_schenckii.gb	SPOSC	Sporothrix_schenckii_ATCC_58251	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Sporothrix
Stachybotrys_chartarum_IBT40288.gb	STACH	Stachybotrys_chartarum_IBT_40288	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	mitosporicHypocreales	Stachybotrys
Stachybotrys_chlorohalonata_IBT40285.gb	STACL	Stachybotrys_chlorohalonata_IBT_40285	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	mitosporicHypocreales	Stachybotrys
Stereum_hirsutum_FP91666.gb	STEHI	Stereum_hirsutum_FP-91666_SS1	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Russulales	Stereaceae	Stereum
Suillus_luteus_UHSluLm8n1.gb	SUILU	Suillus_luteus_UH-Slu-Lm8-n1	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Boletales	Suillaceae	Suillus
Talaromyces_cellulolyticus.gb	TALCE	Talaromyces_cellulolyticus	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces
Talaromyces_islandicus.gb	TALIS	Talaromyces_islandicus	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces.
Talaromyces_stipitatus_ATCC10500.gb	TALSN	Talaromyces_stipitatus_ATCC_10500	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces
Taphrina_deformans_PYCC5710.gb	TAPDE	Taphrina_deformans_PYCC_5710	Fungi	Ascomycota	Taphrinomycotina	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina
Tetrapisispora_blattae_CBS6284.gb	TETBL	Tetrapisispora_blattae_CBS_6284	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Tetrapisispora
Tetrapisispora_phaffii_CBS4417.gb	TETPH	Tetrapisispora_phaffii_CBS_4417	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Tetrapisispora
Thielaviopsis_punctulata.gb	THIPU	Thielaviopsis_punctulata	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Microascales	Ceratocystidaceae	Thielaviopsis.
Thielavia_terrestris_NRRL8126.gb	THITE	Thielavia_terrestris_NRRL_8126	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariales	Chaetomiaceae	Thielavia
Tilletiaria_anomala_UBC951.gb	TILAN	Tilletiaria_anomala_UBC_951	Fungi	Basidiomycota	Ustilaginomycotina	Exobasidiomycetes	Georgefischeriales	Tilletiariaceae	Tilletiaria
Togninia_minima_UCRPA7.gb	TOGMI	Togninia_minima_UCRPA7	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Calosphaeriales	Calosphaeriaceae	Togninia
Torulaspora_delbrueckii_CBS1146.gb	TORDE	Torulaspora_delbrueckii	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora
Torrubiella_hemipterigena.gb	TORHE	Torrubiella_hemipterigena	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Clavicipitaceae	Torrubiella
Trametes_cinnabarina_BRFM137.gb	TRACI	Trametes_cinnabarina	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Polyporales	Coriolaceae	Trametes
Trachipleistophora_hominis.gb	TRAHO	Trachipleistophora_hominis	Fungi	Microsporidia	Microsporidia_S	Microsporidia_C	Microsporidia_O	Pleistophoridae	Trachipleistophora
Trametes_versicolor_FP101664.gb	TRAVE	Trametes_versicolor_FP-101664_SS1	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Polyporales	Coriolaceae	Trametes
Tremella_mesenterica_DSM1558.gb	TREME	Tremella_mesenterica_DSM_1558	Fungi	Basidiomycota	Agaricomycotina	Tremellomycetes	Tremellales	Tremellaceae	Tremella
Trichosporon_asahii_asahii_CBS2479.gb	TRIAS	Trichosporon_asahii_var._asahii_CBS_2479	Fungi	Basidiomycota	Agaricomycotina	Tremellomycetes	Tremellales	mitosporicTremellales	Trichosporon
Trichoderma_atroviride_IMI206040.gb	TRIAT	Trichoderma_atroviride_IMI_206040	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma
Trichophyton_equinum_CBS12797.gb	TRIEQ	Trichophyton_equinum_CBS_127.97	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton
Trichophyton_interdigitale_H6.gb	TRIIN	Trichophyton_interdigitale_H6	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton
Trichoderma_reesei_QM6a.gb	TRIRE	Trichoderma_reesei_QM6a	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma
